"K230
Pin Number","K230D
Pin Number",Pin Name,Power Supply,IO Type,DIR,Function Description,,,,,
L8,J7,VSS,—,—,G,—,VSS,GND,,,
L9,J6,VDD0P8_CORE,—,—,P,—,VDD0P8_CORE,CORE(include CPU0) power supply,,,
L10,J9,VSS,—,—,G,—,VSS,GND,,,
L11,J8,VDD0P8_CORE,—,—,P,—,VDD0P8_CORE,CORE(include CPU0) power supply,,,
L12,J12,VSS,—,—,G,—,VSS,GND,,,
L13,L10,VDD0P8_DDR_CORE,—,—,P,—,VDD0P8_DDR_CORE,DDR core power supply,,,
L14,J11,VDDIO_DDR,—,—,P,—,VDDIO_DDR,DDR IO power supply:LP3-1V2;LP4-1V1,,,
L15,J13,VSS,—,—,G,—,VSS,GND,,,
L16,—,DDR_CA5_CAA1,VDDIO_DDR,DDR,IO,—,DDR_CA5_CAA1,CA BUS:LP3-CA5;LP4-CAA1,,,
L17,—,DDR_CA3_NC,VDDIO_DDR,DDR,IO,—,DDR_CA3_NC,CA BUS:LP3-CA3;LP4-NC,,,
L18,—,DDR_ODT_NC,VDDIO_DDR,DDR,IO,—,DDR_ODT_NC,LP3-ODT;LP4-NC,,,
L19,J14,VSS,—,—,G,—,VSS,GND,,,
L20,—,DDR_CA1_NC,VDDIO_DDR,DDR,IO,—,DDR_CA1_NC,LP3-CA1;LP4-NC,,,
M1,K3,GPIO25,VDDIO_BANK1,LVCMOS18/33,IO,1,GPIO25,GPIO25,,,
,,,,,,2,PWM5,PWM5,,,
,,,,,,3,QSPI1_D3,QSPI1 Data3,,,
,,,,,,4,PULSE_CNTR5,Pulse Counter5,,,
,,,,,,5,-,-,,,
M2,—,GPIO54,VDDIO_BANK4,LVCMOS18/33,IO,1,GPIO54,GPIO54,,,
,,,,,,2,QSPI0_CS0,QSPI0 Chip Select0,,,
,,,,,,3,MMC1_CMD,MMC1 Command,,,
,,,,,,4,PWM0,PWM0,,,
,,,,,,5,-,-,,,
M3,—,GPIO52,VDDIO_BANK4,LVCMOS18/33,IO,1,GPIO52,GPIO52,,,
,,,,,,2,UART3_RTS,UART3 Request-to-Send,,,
,,,,,,3,PWM4,PWM4,,,
,,,,,,4,IIC3_SCL,IIC3 Serial Clock,,,
,,,,,,5,-,-,,,
M4,—,GPIO51,VDDIO_BANK4,LVCMOS18/33,IO,1,GPIO51,GPIO51,,,
,,,,,,2,UART3_RXD,UART3 Receive Data,,,
,,,,,,3,IIC2_SDA,IIC2 Serial Data,,,
,,,,,,4,QSPI0_CS3,QSPI0 Chip Select3,,,
,,,,,,5,-,-,,,
M5,—,GPIO50,VDDIO_BANK4,LVCMOS18/33,IO,1,GPIO50,GPIO50,,,
,,,,,,2,UART3_TXD,UART3 Transmit Data,,,
,,,,,,3,IIC2_SCL,IIC2 Serial Clock,,,
,,,,,,4,QSPI0_CS4,QSPI0 Chip Select4,,,
,,,,,,5,-,-,,,
M6,J15,VSS,—,—,G,—,VSS,GND,,,
M7,K4,VDDIO_BANK4,—,—,P,—,VDDIO3P3_4,1.8/3.3V power supply,,,
M8,K5,VSS,—,—,G,—,VSS,GND,,,
M9,K6,VDD0P8_CORE,—,—,P,—,VDD0P8_CORE,CORE(include CPU0) power supply,,,
M10,K7,VSS,—,—,G,—,VSS,GND,,,
M11,K8,VDD0P8_CORE,—,—,P,—,VDD0P8_CORE,CORE(include CPU0) power supply,,,
M12,K9,VSS,—,—,G,—,VSS,GND,,,
M13,K10,VDD0P8_DDR_CORE,—,—,P,—,VDD0P8_DDR_CORE,DDR core power supply,,,
M14,K11,VDDIO_DDR,—,—,P,—,VDDIO_DDR,DDR IO power supply:LP3-1V2;LP4-1V1,,,
M15,K12,VSS,—,—,G,—,VSS,GND,,,
M16,K13,VSS,—,—,G,—,VSS,GND,,,
M17,—,DDR_NC,VDDIO_DDR,DDR,IO,—,DDR_NC,CA BUS:LP3-NC;LP4-NC,,,
M18,—,DDR_CA8_CAA4,VDDIO_DDR,DDR,IO,—,DDR_CA8_CAA4,CA BUS:LP3-CA8;LP4-CAA4,,,
M19,—,DDR_CA4_CAA0,VDDIO_DDR,DDR,IO,—,DDR_CA4_CAA0,CA BUS:LP3-CA4;LP4-CAA0,,,
M20,—,DDR_CA2_NC,VDDIO_DDR,DDR,IO,—,DDR_CA2_NC,CA BUS:LP3-CA2;LP4-NC,,,
N1,—,GPIO57,VDDIO_BANK4,LVCMOS18/33,IO,1,GPIO57,GPIO57,,,
,,,,,,2,QSPI0_D1,QSPI0 Data1,,,
,,,,,,3,MMC1_D1,MMC1 Data1,,,
,,,,,,4,PWM3,PWM3,,,
,,,,,,5,-,-,,,
N2,—,GPIO55,VDDIO_BANK4,LVCMOS18/33,IO,1,GPIO55,GPIO55,,,
,,,,,,2,QSPI0_CLK,QSPI0 Clock,,,
,,,,,,3,MMC1_CLK,MMC1 Clock,,,
,,,,,,4,PWM1,PWM1,,,
,,,,,,5,-,-,,,
N3,—,VSS,—,—,G,—,VSS,GND,,,
N4,—,GPIO53,VDDIO_BANK4,LVCMOS18/33,IO,1,GPIO53,GPIO53,,,
,,,,,,2,UART3_CTS,UART3 Clear To Send,,,
,,,,,,3,PWM5,PWM5,,,
,,,,,,4,IIC3_SDA,IIC3 Serial Data,,,
,,,,,,5,-,-,,,
N5,K14,VSS,—,—,G,—,VSS,GND,,,
N6,M4,AVDD0P8_MIPI,—,—,P,—,AVDD0P8_MIPI,MIPI low-voltage analog supply operation,,,
N7,L4,AVDD1P8_MIPI,—,—,P,—,AVDD1P8_MIPI,MIPI Analog High Voltage Power Supply,,,
N8,K15,VSS,—,—,G,—,VSS,GND,,,
N9,L6,VDD0P8_CORE,—,—,P,—,VDD0P8_CORE,CORE(include CPU0) power supply,,,
N10,K16,VSS,—,—,G,—,VSS,GND,,,
N11,L8,VDD0P8_CORE,—,—,P,—,VDD0P8_CORE,CORE(include CPU0) power supply,,,
N12,L3,VSS,—,—,G,—,VSS,GND,,,
N13,J10,VDD0P8_DDR_CORE,—,—,P,—,VDD0P8_DDR_CORE,DDR core power supply,,,
N14,L11,VDDIO_DDR,—,—,P,—,VDDIO_DDR,DDR IO power supply:LP3-1V2;LP4-1V1,,,
N15,L5,VSS,—,—,G,—,VSS,GND,,,
N16,L7,VSS,—,—,G,—,VSS,GND,,,
N17,—,DDR_CKE0_CKEA0,VDDIO_DDR,DDR,IO,—,DDR_CKE0_CKEA0,Clock Enable:LP3-CKE0;LP4-CKEA0,,,
N18,—,DDR_NC,VDDIO_DDR,DDR,IO,—,DDR_NC,CA BUS:LP3-NC;LP4-NC,,,
N19,—,DDR_CA6_CAA2,VDDIO_DDR,DDR,IO,—,DDR_CA6_CAA2,CA BUS:LP3-CA6;LP4-CAA2,,,
N20,—,DDR_CA7_CAA3,VDDIO_DDR,DDR,IO,—,DDR_CA7_CAA3,CA BUS:LP3-CA7;LP4-CAA3,,,
P1,—,GPIO58,VDDIO_BANK4,LVCMOS18/33,IO,1,GPIO58,GPIO58,,,
,,,,,,2,QSPI0_D2,QSPI0 Data2,,,
,,,,,,3,MMC1_D2,MMC1 Data2,,,
,,,,,,4,PWM4,PWM4,,,
,,,,,,5,-,-,,,
P2,P4,GPIO59,VDDIO_BANK4,LVCMOS18/33,IO,1,GPIO59,GPIO59,,,
,,,,,,2,QSPI0_D3,QSPI0 Data3,,,
,,,,,,3,MMC1_D3,MMC1 Data3,,,
,,,,,,4,PWM5,PWM5,,,
,,,,,,5,-,-,,,
P3,—,GPIO56,VDDIO_BANK4,LVCMOS18/33,IO,1,GPIO56,GPIO56,,,
,,,,,,2,QSPI0_D0,QSPI0 Data0,,,
,,,,,,3,MMC1_D0,MMC1 Data0,,,
,,,,,,4,PWM2,PWM2,,,
,,,,,,5,-,-,,,
P4,P3,GPIO61,VDDIO_BANK4,LVCMOS18/33,IO,1,GPIO61,GPIO61,,,
,,,,,,2,PWM1,PWM1,,,
,,,,,,3,IIC0_SDA,IIC0 Serial Data,,,
,,,,,,4,QSPI0_CS1,QSPI0 Chip Select1,,,
,,,,,,5,VSYNC1,Vertical Synchronization1,,,
P5,N3,GPIO60,VDDIO_BANK4,LVCMOS18/33,IO,1,GPIO60,GPIO60,,,
,,,,,,2,PWM0,PWM0,,,
,,,,,,3,IIC0_SCL,IIC0 Serial Clock,,,
,,,,,,4,QSPI0_CS2,QSPI0 Chip Select2,,,
,,,,,,5,HSYNC1,Horizontal Synchronization1,,,
P6,—,VSS,—,—,G,—,VSS,GND,,,
P7,L9,VSS,—,—,G,—,VSS,GND,,,
P8,L12,VSS,—,—,G,—,VSS,GND,,,
P9,M8,VDD0P8_CORE,—,—,P,—,VDD0P8_CORE,CORE(include CPU0) power supply,,,
P10,L15,VSS,—,—,G,—,VSS,GND,,,
P11,M10,VDD0P8_CORE,—,—,P,—,VDD0P8_CORE,CORE(include CPU0) power supply,,,
P12,M3,VSS,—,—,G,—,VSS,GND,,,
P13,—,VDD0P8_CORE,—,—,P,—,VDD0P8_CORE,CORE(include CPU0) power supply,,,
P14,M5,VSS,—,—,G,—,VSS,GND,,,
P15,M7,VSS,—,—,G,—,VSS,GND,,,
P16,—,DDR_DQ14_DQA14,VDDIO_DDR,DDR,IO,—,DDR_DQ14_DQA14,Data Input/Output:LP3-DQ14;LP4-DQA14,,,
P17,—,DDR_DM1_DMIA1,VDDIO_DDR,DDR,IO,—,DDR_DM1_DMIA1,Data Mask Inversion:LP3-DM1;LP4-DMIA1,,,
P18,—,DDR_CKE1_CKEA1,VDDIO_DDR,DDR,IO,—,DDR_CKE1_CKEA1,Clock Enable:LP3-CKE1;LP4-CKEA1,,,
P19,—,DDR_CA9_CAA5,VDDIO_DDR,DDR,IO,—,DDR_CA9_CAA5,CA BUS:LP3-CA9;LP4-CAA5,,,
P20,—,VSS,—,—,G,—,VSS,GND,,,
R1,K2,MIPI_RX2_CLK_P,AVDD1P8_MIPI,MIPI,I,—,MIPI_RX2_CLK_P,"MIPI CSI PHY Port2, CLK_P",,,
R2,K1,MIPI_RX2_CLK_N,AVDD1P8_MIPI,MIPI,I,—,MIPI_RX2_CLK_N,"MIPI CSI PHY Port2, CLK_N",,,
R3,—,VSS,—,—,G,—,VSS,GND,,,
—,—,—,—,—,—,—,—,—,,,
—,—,—,—,—,—,—,—,—,,,
R6,—,VSS,—,—,G,—,VSS,GND,,,
R7,M9,VSS,—,—,G,—,VSS,GND,,,
R8,N5,AVDD0P8_MIPI,—,—,P,—,AVDD0P8_MIPI,MIPI low-voltage analog supply operation,,,
R9,M6,AVDD1P8_MIPI,—,—,P,—,AVDD1P8_MIPI,MIPI Analog High Voltage Power Supply,,,
R10,M11,VSS,—,—,G,—,VSS,GND,,,
R11,N8,VDDIO_BANK2,—,—,P,—,VDDIO3P3_2,1.8/3.3V power supply,,,
R12,M12,VSS,—,—,G,—,VSS,GND,,,
R13,N10,VDDIO_BANK0,—,—,P,—,VDDIO3P3_0,1.8/3.3V power supply,,,
R14,N4,VSS,—,—,G,—,VSS,GND,,,
R15,N11,VDDIO_BANK5,—,—,P,—,VDDIO3P3_5,1.8/3.3V power supply,,,
R16,N6,VSS,—,—,G,—,VSS,GND,,,
R17,—,DDR_DQ8_DQA8,VDDIO_DDR,DDR,IO,—,DDR_DQ8_DQA8,Data Input/Output:LP3-DQ8;LP4-DQA8,,,
R18,—,DDR_DQ10_DQA10,VDDIO_DDR,DDR,IO,—,DDR_DQ10_DQA10,Data Input/Output:LP3-DQ10;LP4-DQA10,,,
R19,—,DDR_CLKP_CLKAP,VDDIO_DDR,DDR,IO,—,DDR_CLKP_CLKAP,CA BUS:LP3-CLKP;LP4-CLKAP,,,
R20,—,DDR_CLKN_CLKAN,VDDIO_DDR,DDR,IO,—,DDR_CLKN_CLKAN,CA BUS:LP3-CLKN;LP4-CLKAN,,,
T1,L2,MIPI_RX2_D4_N,AVDD1P8_MIPI,MIPI,I,—,MIPI_RX2_D4_N,"MIPI CSI PHY Port, DATA4_N",,,
T2,L1,MIPI_RX2_D4_P,AVDD1P8_MIPI,MIPI,I,—,MIPI_RX2_D4_P,"MIPI CSI PHY Port, DATA4_P",,,
T3,—,VSS,—,—,G,—,VSS,GND,,,
—,—,—,—,—,—,—,—,—,,,
—,—,—,—,—,—,—,—,—,,,
—,—,—,—,—,—,—,—,—,,,
T7,N7,VSS,—,—,G,—,VSS,GND,,,
T8,—,VSS,—,—,G,—,VSS,GND,,,
T9,N9,VSS,—,—,G,—,VSS,GND,,,
T10,T12,GPIO36,VDDIO_BANK2,LVCMOS18/33,IO,1,GPIO36,GPIO36,,,
,,,,,,2,IIC3_SCL,IIC3 Serial Clock,,,
,,,,,,3,IIS_D_IN1,IIS Data Input1,,,
,,,,,,4,PDM_IN2,PDM Input2,,,
,,,,,,5,UART4_TXD,UART4 Transmit Data,,,
T11,R11,GPIO33,VDDIO_BANK2,LVCMOS18/33,IO,1,GPIO33,GPIO33,,,
,,,,,,2,IIC0_SDA,IIC0 Serial Data,,,
,,,,,,3,IIS_WS,IIS Word Select,,,
,,,,,,4,UART3_RXD,UART3 Receive Data,,,
,,,,,,5,-,-,,,
T12,P12,GPIO13,VDDIO_BANK0,LVCMOS18/33,IO,1,GPIO13,GPIO13,,,
,,,,,,2,M_CLK1,"Master Clock1, for carema",,,
,,,,,,3,DO2,"DO2, for jam-link",,,
,,,,,,4,-,-,,,
,,,,,,5,-,-,,,
T13,—,GPIO9,VDDIO_BANK0,LVCMOS18/33,IO,1,GPIO9,GPIO9,,,
,,,,,,2,PWM4,PWM4,,,
,,,,,,3,UART1_TXD,UART1 Transmit Data,,,
,,,,,,4,IIC1_SCL,IIC1 Serial Clock,,,
,,,,,,5,DI2,"DI2, for jam-link",,,
T14,L13,GPIO62,VDDIO_BANK5,LVCMOS18/33,IO,1,GPIO62,GPIO62,,,
,,,,,,2,M_CLK2,"Master Clock2, for carema",,,
,,,,,,3,UART3_DE,UART3 Driver output enable,,,
,,,,,,4,-,-,,,
,,,,,,5,-,-,,,
T15,N12,VSS,—,—,G,—,VSS,GND,,,
T16,—,DDR_DQ30_DQA1,VDDIO_DDR,DDR,IO,—,DDR_DQ30_DQA1,Data Input/Output:LP3-DQ30;LP4-DQA1,,,
T17,—,DDR_DQ15_DQA15,VDDIO_DDR,DDR,IO,—,DDR_DQ15_DQA15,Data Input/Output:LP3-DQ15;LP4-DQA15,,,
T18,—,DDR_DQ9_DQA9,VDDIO_DDR,DDR,IO,—,DDR_DQ9_DQA9,Data Input/Output:LP3-DQ9;LP4-DQA9,,,
T19,—,DDR_CS1_CSA1,VDDIO_DDR,DDR,IO,—,DDR_CS1_CSA1,LP3-CS1;LP4-CSA1,,,
T20,—,DDR_CS0_CSA0,VDDIO_DDR,DDR,IO,—,DDR_CS0_CSA0,LP3-CS0;LP4-CSA0,,,
U1,M1,MIPI_RX2_D5_P,AVDD1P8_MIPI,MIPI,I,—,MIPI_RX2_D5_P,"MIPI CSI PHY Port, DATA5_P",,,
U2,M2,MIPI_RX2_D5_N,AVDD1P8_MIPI,MIPI,I,—,MIPI_RX2_D5_N,"MIPI CSI PHY Port, DATA5_N",,,
U3,—,VSS,—,—,G,—,VSS,GND,,,
—,—,—,—,—,—,—,—,—,,,
—,—,—,—,—,—,—,—,—,,,
U6,P5,MIPI_ATB,AVDD1P8_MIPI,MIPI,I,—,MIPI_ATB,"Analog test bus pin,if not used it could be floating",,,
U7,P6,MIPI_REXT,AVDD1P8_MIPI,MIPI,I,—,MIPI_REXT,Must be connected 200Ω 1% accuracy resisitor,,,
U8,P7,VSS,—,—,G,—,VSS,GND,,,
U9,T15,GPIO34,VDDIO_BANK2,LVCMOS18/33,IO,1,GPIO34,GPIO34,,,
,,,,,,2,IIC1_SCL,IIC1 Serial Clock,,,
,,,,,,3,IIS_D_IN0,IIS Data Input0,,,
,,,,,,4,PDM_IN3,PDM Input3,,,
,,,,,,5,UART3_RTS,UART3 Request to Send,,,
U10,R12,GPIO32,VDDIO_BANK2,LVCMOS18/33,IO,1,GPIO32,GPIO32,,,
,,,,,,2,IIC0_SCL,IIC0 Serial Clock,,,
,,,,,,3,IIS_CLK,IIS Clock,,,
,,,,,,4,UART3_TXD,UART3 Transmit Data,,,
,,,,,,5,-,-,,,
U11,P11,GPIO26,VDDIO_BANK2,LVCMOS18/33,IO,1,GPIO26,GPIO26,,,
,,,,,,2,MMC1_CLK,MMC1 Clock,,,
,,,,,,3,-,-,,,
,,,,,,4,PDM_CLK,PDM Clock,,,
,,,,,,5,-,-,,,
U12,N16,GPIO8,VDDIO_BANK0,LVCMOS18/33,IO,1,GPIO8,GPIO8,,,
,,,,,,2,PWM3,PWM3,,,
,,,,,,3,IIC4_SDA,IIC4 Serial Data,,,
,,,,,,4,-,-,,,
,,,,,,5,DI1,"DI1, for jam-link",,,
U13,P15,GPIO10,VDDIO_BANK0,LVCMOS18/33,IO,1,GPIO10,GPIO10,,,
,,,,,,2,3D_CTRL_IN,3D Control Input,,,
,,,,,,3,UART1_RXD,UART1 Receive Data,,,
,,,,,,4,IIC1_SDA,IIC1 Serial Data,,,
,,,,,,5,DI3,"DI3, for jam-link",,,
U14,M14,GPIO5,VDDIO_BANK0,LVCMOS18/33,IO,1,GPIO5,GPIO5,,,
,,,,,,2,JTAG_TMS,JTAG_TMS,,,
,,,,,,3,PULSE_CNTR3,Pulse Counter3,,,
,,,,,,4,UART2_TXD,UART2 Transmit Data,,,
,,,,,,5,-,-,,,
U15,M13,GPIO63,VDDIO_BANK5,LVCMOS18/33,IO,1,GPIO63,GPIO63,,,
,,,,,,2,M_CLK3,"Master Clock3, for carema",,,
,,,,,,3,UART3_RE,UART3 Receiver output enable,,,
,,,,,,4,-,-,,,
,,,,,,5,-,-,,,
U16,—,DDR_DQ31_DQA0,VDDIO_DDR,DDR,IO,—,DDR_DQ31_DQA0,Data Input/Output:LP3-DQ31;LP4-DQA0,,,
U17,—,DDR_DQ24_DQA7,VDDIO_DDR,DDR,IO,—,DDR_DQ24_DQA7,Data Input/Output:LP3-DQ24;LP4-DQA7,,,
U18,—,DDR_DQ13_DQA13,VDDIO_DDR,DDR,IO,—,DDR_DQ13_DQA13,Data Input/Output:LP3-DQ13;LP4-DQA13,,,
U19,—,VSS,—,—,G,—,VSS,GND,,,
U20,—,DDR_DQ11_DQA11,VDDIO_DDR,DDR,IO,—,DDR_DQ11_DQA11,Data Input/Output:LP3-DQ11;LP4-DQA11,,,
V1,N1,MIPI_RX0_D1_N,AVDD1P8_MIPI,MIPI,I,—,MIPI_RX0_D1_N,"MIPI CSI PHY Port, DATA1_N",,,
V2,N2,MIPI_RX0_D1_P,AVDD1P8_MIPI,MIPI,I,—,MIPI_RX0_D1_P,"MIPI CSI PHY Port, DATA1_P",,,
V3,—,VSS,—,—,G,—,VSS,GND,,,
V4,—,VSS,—,—,G,—,VSS,GND,,,
V5,—,VSS,—,—,G,—,VSS,GND,,,
V6,—,VSS,—,—,G,—,VSS,GND,,,
V7,P8,VSS,—,—,G,—,VSS,GND,,,
V8,P9,VSS,—,—,G,—,VSS,GND,,,
V9,R13,GPIO31,VDDIO_BANK2,LVCMOS18/33,IO,1,GPIO31,GPIO31,,,
,,,,,,2,MMC1_D3,MMC1 Data3,,,
,,,,,,3,UART3_CTS,UART3 Clear To Send,,,
,,,,,,4,3D_CTRL_OUT2,3D_CTRL_OUT2,,,
,,,,,,5,-,-,,,
V10,R14,GPIO30,VDDIO_BANK2,LVCMOS18/33,IO,1,GPIO30,GPIO30,,,
,,,,,,2,MMC1_D2,MMC1 Data2,,,
,,,,,,3,UART3_RTS,UART3 Request to Send,,,
,,,,,,4,3D_CTRL_OUT1,3D_CTRL_OUT1,,,
,,,,,,5,CI3,"CI3, for jam-link",,,
V11,R15,GPIO29,VDDIO_BANK2,LVCMOS18/33,IO,1,GPIO29,GPIO29,,,
,,,,,,2,MMC1_D1,MMC1 Data1,,,
,,,,,,3,UART3_RXD,UART3 Receive Data,,,
,,,,,,4,3D_CTRL_IN,3D_CTRL_IN,,,
,,,,,,5,CI2,"CI2, for jam-link",,,
V12,R16,GPIO28,VDDIO_BANK2,LVCMOS18/33,IO,1,GPIO28,GPIO28,,,
,,,,,,2,MMC1_D0,MMC1 Data0,,,
,,,,,,3,UART3_TXD,UART3 Transmit Data,,,
,,,,,,4,PDM_IN1,PDM Input1,,,
,,,,,,5,CI1,"CI1, for jam-link",,,
V13,P13,GPIO12,VDDIO_BANK0,LVCMOS18/33,IO,1,GPIO12,GPIO12,,,
,,,,,,2,3D_CTRL_OUT2,3D_CTRL_OUT2,,,
,,,,,,3,UART2_RXD,UART2 Receive Data,,,
,,,,,,4,IIC2_SDA,IIC2 Serial Data,,,
,,,,,,5,DO1,"DO1, for jam-link",,,
V14,N13,GPIO6,VDDIO_BANK0,LVCMOS18/33,IO,1,GPIO6,GPIO6,,,
,,,,,,2,JTAG_RST,JTAG_RST,,,
,,,,,,3,PULSE_CNTR4,PULSE_CNTR4,,,
,,,,,,4,UART2_RXD,UART2 Receive Data,,,
,,,,,,5,-,-,,,
V15,N15,GPIO3,VDDIO_BANK0,LVCMOS18/33,IO,1,GPIO3,GPIO3,,,
,,,,,,2,JTAG_TDI,JTAG_TDI,,,
,,,,,,3,PULSE_CNTR1,Pulse Counter1,,,
,,,,,,4,UART1_TXD,UART1 Transmit Data,,,
,,,,,,5,-,-,,,
V16,—,DDR_DQ29_DQA2,VDDIO_DDR,DDR,IO,—,DDR_DQ29_DQA2,Data Input/Output:LP3-DQ29;LP4-DQA2,,,
V17,—,DDR_DM3_DMIA0,VDDIO_DDR,DDR,IO,—,DDR_DM3_DMIA0,Data Mask Inversion:LP3-DM3;LP4-DMIA0,,,
V18,—,DDR_DQ26_DQA5,VDDIO_DDR,DDR,IO,—,DDR_DQ26_DQA5,Data Input/Output:LP3-DQ26;LP4-DQA5,,,
V19,—,DDR_DQS1N_DQSA1N,VDDIO_DDR,DDR,IO,—,DDR_DQS1N_DQSA1N,Read Strobe:LP3-DQS1N;LP4-DQSA1N,,,
V20,—,DDR_DQS1P_DQSA1P,VDDIO_DDR,DDR,IO,—,DDR_DQS1P_DQSA1P,Read Strobe:LP3-DQS1P;LP4-DQSA1P,,,
W1,P14,VSS,—,—,G,—,VSS,GND,,,
W2,P2,MIPI_RX0_CLK_P,AVDD1P8_MIPI,MIPI,I,—,MIPI_RX0_CLK_P,"MIPI CSI PHY Port0, CLK_P",,,
W3,R2,MIPI_RX0_D0_N,AVDD1P8_MIPI,MIPI,I,—,MIPI_RX0_D0_N,"MIPI CSI PHY Port, DATA0_N",,,
W4,R3,MIPI_RX1_D2_P,AVDD1P8_MIPI,MIPI,I,—,MIPI_RX1_D2_P,"MIPI CSI PHY Port, DATA2_P",,,
W5,R4,MIPI_RX1_CLK_N,AVDD1P8_MIPI,MIPI,I,—,MIPI_RX1_CLK_N,"MIPI CSI PHY Port1, CLK_N",,,
W6,R5,MIPI_RX1_D3_N,AVDD1P8_MIPI,MIPI,I,—,MIPI_RX1_D3_N,"MIPI CSI PHY Port, DATA3_N",,,
W7,R6,MIPI_TX1_D3_N,AVDD1P8_MIPI,MIPI,O,—,MIPI_TX1_D3_N,"MIPI DSI PHY Port, DATA3_N",,,
W8,R7,MIPI_TX1_D2_P,AVDD1P8_MIPI,MIPI,O,—,MIPI_TX1_D2_P,"MIPI DSI PHY Port, DATA2_P",,,
W9,R9,MIPI_TX0_CLK_N,AVDD1P8_MIPI,MIPI,O,—,MIPI_TX0_CLK_N,"MIPI DSI PHY Port0, CLK_N",,,
W10,T8,MIPI_TX0_D0_P,AVDD1P8_MIPI,MIPI,O,—,MIPI_TX0_D0_P,"MIPI DSI PHY Port, DATA0_P",,,
W11,R10,MIPI_TX0_D1_N,AVDD1P8_MIPI,MIPI,O,—,MIPI_TX0_D1_N,"MIPI DSI PHY Port, DATA1_N",,,
W12,T14,GPIO35,VDDIO_BANK2,LVCMOS18/33,IO,1,GPIO35,GPIO35,,,
,,,,,,2,IIC1_SDA,IIC1 Serial Data,,,
,,,,,,3,IIS_D_OUT0,IIS Data Output0,,,
,,,,,,4,PDM_IN1,PDM Input1,,,
,,,,,,5,UART3_CTS,UART3 Clear To Send,,,
W13,P10,GPIO27,VDDIO_BANK2,LVCMOS18/33,IO,1,GPIO27,GPIO27,,,
,,,,,,2,MMC1_CMD,MMC1 Command,,,
,,,,,,3,PULSE_CNTR5,Pulse Counter5,,,
,,,,,,4,PDM_IN0,PDM Input0,,,
,,,,,,5,CI0,"CI0, for jam-link",,,
W14,M16,GPIO7,VDDIO_BANK0,LVCMOS18/33,IO,1,GPIO7,GPIO7,,,
,,,,,,2,PWM2,PWM2,,,
,,,,,,3,IIC4_SCL,IIC4 Serial Clock,,,
,,,,,,4,-,-,,,
,,,,,,5,DI0,"DI0, for jam-link",,,
W15,L14,GPIO2,VDDIO_BANK0,LVCMOS18/33,IO,1,GPIO2,GPIO2,,,
,,,,,,2,JTAG_TCK,JTAG_TCK,,,
,,,,,,3,PULSE_CNTR0,Pulse Counter0,,,
,,,,,,4,-,-,,,
,,,,,,5,-,-,,,
W16,R1,VSS,—,—,G,—,VSS,GND,,,
W17,—,DDR_DQS3P_DQSA0P,VDDIO_DDR,DDR,IO,—,DDR_DQS3P_DQSA0P,Read Strobe:LP3-DQS3P;LP4-DQSA0P,,,
W18,—,DDR_DQ27_DQA4,VDDIO_DDR,DDR,IO,—,DDR_DQ27_DQA4,Data Input/Output:LP3-DQ27;LP4-DQA4,,,
W19,—,DDR_DQ12_DQA12,VDDIO_DDR,DDR,IO,—,DDR_DQ12_DQA12,Data Input/Output:LP3-DQ12;LP4-DQA12,,,
W20,—,VSS,—,—,G,—,VSS,GND,,,
Y1,T1,NC,—,—,—,—,—,—,,,
Y2,P1,MIPI_RX0_CLK_N,AVDD1P8_MIPI,MIPI,I,—,MIPI_RX0_CLK_N,"MIPI CSI PHY Port0, CLK_N",,,
Y3,T2,MIPI_RX0_D0_P,AVDD1P8_MIPI,MIPI,I,—,MIPI_RX0_D0_P,"MIPI CSI PHY Port0, DATA0_P",,,
Y4,T3,MIPI_RX1_D2_N,AVDD1P8_MIPI,MIPI,I,—,MIPI_RX1_D2_N,"MIPI CSI PHY Port1, DATA2_N",,,
Y5,T4,MIPI_RX1_CLK_P,AVDD1P8_MIPI,MIPI,I,—,MIPI_RX1_CLK_P,"MIPI CSI PHY Port1, CLK_P",,,
Y6,T5,MIPI_RX1_D3_P,AVDD1P8_MIPI,MIPI,I,—,MIPI_RX1_D3_P,"MIPI CSI PHY Port1, DATA3_P",,,
Y7,T6,MIPI_TX1_D3_P,AVDD1P8_MIPI,MIPI,O,—,MIPI_TX1_D3_P,"MIPI DSI PHY Port1, DATA3_P",,,
Y8,T7,MIPI_TX1_D2_N,AVDD1P8_MIPI,MIPI,O,—,MIPI_TX1_D2_N,"MIPI DSI PHY Port1, DATA2_N",,,
Y9,T9,MIPI_TX0_CLK_P,AVDD1P8_MIPI,MIPI,O,—,MIPI_TX0_CLK_P,"MIPI DSI PHY Port0, CLK_P",,,
Y10,R8,MIPI_TX0_D0_N,AVDD1P8_MIPI,MIPI,O,—,MIPI_TX0_D0_N,"MIPI DSI PHY Port0, DATA0_N",,,
Y11,T10,MIPI_TX0_D1_P,AVDD1P8_MIPI,MIPI,O,1,MIPI_TX0_D1_P,"MIPI DSI PHY Port0, DATA1_P",,,
Y12,T11,GPIO37,VDDIO_BANK2,LVCMOS18/33,IO,1,GPIO37,GPIO37,,,
,,,,,,2,IIC3_SDA,IIC3 Serial Data,,,
,,,,,,3,IIS_D_OUT1,IIS Data Output1,,,
,,,,,,4,PDM_IN0,PDM Input0,,,
,,,,,,5,UART4_RXD,UART4 Receive Data,,,
Y13,T13,VSS,—,—,G,—,VSS,GND,,,
