"K230
Pin Number","K230D
Pin Number",Pin Name,Power Supply,IO Type,DIR,Function Description,,,,,
,,,,,,4,-,-,,,
,,,,,,5,-,-,,,
C10,C16,INT0,AVDD1P8_LDO,PMU,I,—,INT0,PMU sub-system input channel0,,,
C11,E13,OUT1,AVDD1P8_LDO,PMU,O,—,OUT1,PMU sub-system output channel1,,,
C12,F14,INT4,AVDD1P8_LDO,PMU,I,—,INT4,PMU sub-system input channel4,,,
C13,C4,VSS,—,—,G,—,VSS,GND,,,
C14,—,DDR_DQ16_DQB0,VDDIO_DDR,DDR,IO,—,DDR_DQ16_DQB0,Data Input/Output:LP3-DQ16;LP4-DQB0,,,
C15,—,DDR_DM2_DMIB0,VDDIO_DDR,DDR,IO,—,DDR_DM2_DMIB0,Data Mask Inversion:LP3-DM2;LP4-DMIB0,,,
C16,—,DDR_DQ22_DQB6,VDDIO_DDR,DDR,IO,—,DDR_DQ22_DQB6,Data Input/Output:LP3-DQ22;LP4-DQB6,,,
C17,—,DDR_DQ0_DQB15,VDDIO_DDR,DDR,IO,—,DDR_DQ0_DQB15,Data Input/Output:LP3-DQ0;LP4-DQB15,,,
C18,—,DDR_DQ3_DQB12,VDDIO_DDR,DDR,IO,—,DDR_DQ3_DQB12,Data Input/Output:LP3-DQ3;LP4-DQB12,,,
C19,—,DDR_DQ7_DQB8,VDDIO_DDR,DDR,IO,—,DDR_DQ7_DQB8,Data Input/Output:LP3-DQ7;LP4-DQB8,,,
C20,—,DDR_NC,VDDIO_DDR,DDR,IO,—,DDR_NC,LP3-NC;LP4-NC,,,
D1,—,ADC_5,AVDD1P8_ADC,ADC,I,—,ADC_5,ADC Channel5,,,
D2,A6,ADC_1,AVDD1P8_ADC,ADC,I,—,ADC_1,ADC Channel1,,,
D3,A9,USB0_ID,AVDD3P3_USB,USB,IO,—,USB0_ID,"USB2.0 Port0, ID pin",,,
D4,B9,USB0_TXRTUNE,AVDD3P3_USB,USB,IO,—,USB0_TXRTUNE,"USB2.0 Port0 Transmitter Resistor Tune Pin,Must be connected to GND by a 200Ω 1% accuracy resisitor",,,
D5,A12,MMC0_D0,VDD3P3_SD/VDD1P8,MMC,IO,—,MMC0_D0,MMC0 data0,,,
D6,A14,MMC0_CMD,VDD3P3_SD/VDD1P8,MMC,IO,—,MMC0_CMD,MMC0 command signal,,,
D7,B13,MMC0_D4,VDD3P3_SD/VDD1P8,MMC,IO,—,MMC0_D4,MMC0 data4,,,
D8,—,ANA_TS_VTEST,—,—,O,—,VTEST,T sensor reference voltage output,,,
D9,C5,VSS,—,—,G,—,VSS,GND,,,
D10,C8,VSS,—,—,G,—,VSS,GND,,,
D11,D6,VSS,—,—,G,—,VSS,GND,,,
D12,—,INT5,AVDD1P8_LDO,PMU,I,1,INT5,PMU sub-system input channel5,,,
D13,D7,VSS,—,—,G,—,VSS,GND,,,
D14,—,DDR_DQ17_DQB1,VDDIO_DDR,DDR,IO,—,DDR_DQ17_DQB1,Data Input/Output:LP3-DQ17;LP4-DQB1,,,
D15,—,VSS,—,—,G,—,VSS,GND,,,
D16,—,DDR_DQ1_DQB14,VDDIO_DDR,DDR,IO,—,DDR_DQ1_DQB14,Data Input/Output:LP3-DQ1;LP4-DQB14,,,
D17,—,DDR_DQ2_DQB13,VDDIO_DDR,DDR,IO,—,DDR_DQ2_DQB13,Data Input/Output:LP3-DQ2;LP4-DQB13,,,
D18,—,DDR_DM0_DMIB1,VDDIO_DDR,DDR,IO,—,DDR_DM0_DMIB1,Data Mask Inversion:LP3-DM0;LP4-DMIB1,,,
D19,—,DDR_NC,VDDIO_DDR,DDR,IO,—,DDR_NC,LP3-NC;LP4-NC,,,
D20,—,DDR_NC,VDDIO_DDR,DDR,IO,—,DDR_NC,LP3-NC;LP4-NC,,,
E1,B5,MICPL,AVDD1P8_CODEC,Audio Codec,I,—,MICPL,Left ADC channel input,,,
E2,A5,MICNL,AVDD1P8_CODEC,Audio Codec,I,—,MICNL,Left ADC channel input,,,
E3,A4,MIC_BIAS,AVDD1P8_CODEC,Audio Codec,O,—,MIC_BIAS,Microphone bias output,,,
E4,—,VSS,—,—,G,—,VSS,GND,,,
—,—,—,—,—,—,—,—,—,,,
E6,—,VSS,—,—,G,—,VSS,GND,,,
E7,D13,VSS,—,—,G,—,VSS,GND,,,
E8,E11,VSS,—,—,G,—,VSS,GND,,,
E9,C7,AVDD3P3_USB,—,—,P,—,VDD_3V3,USB 3.3V analog power supply,,,
E10,C9,VDD3P3_SD,—,—,P,—,VDD_3V3,MMC 3.3V power supply,,,
E11,D10,VDD1P8,—,—,P,—,VDD1P8,System Function 1.8V power supply,,,
E12,E12,VSS,—,—,G,—,VSS,GND,,,
E13,—,VSS,—,—,G,—,VSS,GND,,,
E14,—,VSS,—,—,G,—,VSS,GND,,,
E15,—,VSS,—,—,G,—,VSS,GND,,,
E16,—,VSS,—,—,G,—,VSS,GND,,,
E17,—,DDR_DQ5_DQB10,VDDIO_DDR,DDR,IO,—,DDR_DQ5_DQB10,Data Input/Output:LP3-DQ5;LP4-DQB10,,,
